"Country or Area","Year","Area","Sex","Age","Literacy","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Albania","2011","Total","Both Sexes","10 - 14","Total","Census - de jure - complete tabulation","Final figure, complete","2013","233376",""
"Albania","2011","Total","Both Sexes","10 - 14","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","231653",""
"Albania","2011","Total","Both Sexes","10 - 14","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","1723",""
"Albania","2011","Total","Both Sexes","10 +","Total","Census - de jure - complete tabulation","Final figure, complete","2013","2454948",""
"Albania","2011","Total","Both Sexes","10 +","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","2387409",""
"Albania","2011","Total","Both Sexes","10 +","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","67539",""
"Albania","2011","Total","Both Sexes","15 - 19","Total","Census - de jure - complete tabulation","Final figure, complete","2013","268746",""
"Albania","2011","Total","Both Sexes","15 - 19","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","266391",""
"Albania","2011","Total","Both Sexes","15 - 19","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","2355",""
"Albania","2011","Total","Both Sexes","20 - 24","Total","Census - de jure - complete tabulation","Final figure, complete","2013","243645",""
"Albania","2011","Total","Both Sexes","20 - 24","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","240511",""
"Albania","2011","Total","Both Sexes","20 - 24","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","3134",""
"Albania","2011","Total","Both Sexes","25 - 29","Total","Census - de jure - complete tabulation","Final figure, complete","2013","191906",""
"Albania","2011","Total","Both Sexes","25 - 29","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","188762",""
"Albania","2011","Total","Both Sexes","25 - 29","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","3144",""
"Albania","2011","Total","Both Sexes","30 - 34","Total","Census - de jure - complete tabulation","Final figure, complete","2013","163975",""
"Albania","2011","Total","Both Sexes","30 - 34","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","161531",""
"Albania","2011","Total","Both Sexes","30 - 34","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","2444",""
"Albania","2011","Total","Both Sexes","35 - 39","Total","Census - de jure - complete tabulation","Final figure, complete","2013","167499",""
"Albania","2011","Total","Both Sexes","35 - 39","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","165441",""
"Albania","2011","Total","Both Sexes","35 - 39","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","2058",""
"Albania","2011","Total","Both Sexes","40 - 44","Total","Census - de jure - complete tabulation","Final figure, complete","2013","186451",""
"Albania","2011","Total","Both Sexes","40 - 44","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","184554",""
"Albania","2011","Total","Both Sexes","40 - 44","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","1897",""
"Albania","2011","Total","Both Sexes","45 - 49","Total","Census - de jure - complete tabulation","Final figure, complete","2013","192924",""
"Albania","2011","Total","Both Sexes","45 - 49","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","191146",""
"Albania","2011","Total","Both Sexes","45 - 49","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","1778",""
"Albania","2011","Total","Both Sexes","50 - 54","Total","Census - de jure - complete tabulation","Final figure, complete","2013","195480",""
"Albania","2011","Total","Both Sexes","50 - 54","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","193608",""
"Albania","2011","Total","Both Sexes","50 - 54","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","1872",""
"Albania","2011","Total","Both Sexes","55 - 59","Total","Census - de jure - complete tabulation","Final figure, complete","2013","162745",""
"Albania","2011","Total","Both Sexes","55 - 59","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","160998",""
"Albania","2011","Total","Both Sexes","55 - 59","Illiterate","Census - de jure - complete tabulation","Final figure, complete","2013","1747",""
"Albania","2011","Total","Both Sexes","60 - 64","Total","Census - de jure - complete tabulation","Final figure, complete","2013","130616",""
"Albania","2011","Total","Both Sexes","60 - 64","Literate","Census - de jure - complete tabulation","Final figure, complete","2013","128227",""
